locationName,lat,lon,stationId,time,temp
馬都安,24.453056,120.921944,C0E610,2021-03-31 15:00:00,21.2
梓官,22.762444,120.259250,C0V610,2021-03-31 15:00:00,27.1
清水斷崖,24.220100,121.680972,C0Z310,2021-03-31 15:00:00,25.7
知本,22.686667,120.997583,C0S700,2021-03-31 15:00:00,22.4
鳳林山,23.737072,121.411994,C0T9G0,2021-03-31 15:00:00,23.0
雙連埤,24.754722,121.633056,C0U520,2021-03-31 15:00:00,23.0
苗栗,24.566667,120.816444,C0E750,2021-03-31 15:00:00,24.0
內獅,22.306856,120.634956,C0R810,2021-03-31 15:00:00,27.7
溪湖,23.951750,120.471056,C0G660,2021-03-31 15:00:00,29.5
金沙,24.489931,118.400617,C0W140,2021-03-31 15:00:00,24.0
南山,24.439167,121.373333,C0U720,2021-03-31 15:00:00,21.2
墾丁,21.968561,120.802258,C0R690,2021-03-31 15:00:00,28.3
安定,23.104417,120.219972,C0X150,2021-03-31 15:00:00,29.7
佳心,23.347464,121.205061,C0Z050,2021-03-31 15:00:00,25.4
萬大林道,23.930008,121.083267,C0I490,2021-03-31 15:00:00,23.3
鳳凰,23.729722,120.779167,C0I090,2021-03-31 15:00:00,22.6
關子嶺,23.332933,120.499931,C0X240,2021-03-31 15:00:00,26.3
山豬窟,22.320422,120.849339,C0S990,2021-03-31 15:00:00,25.7
大河,24.619833,120.940550,C0E850,2021-03-31 15:00:00,23.0
水源,23.993611,121.529167,C0T9B0,2021-03-31 15:00:00,22.9
員林,23.948333,120.577528,C0G650,2021-03-31 15:00:00,28.9
高鐵雲林,23.739206,120.409817,C0K580,2021-03-31 15:00:00,29.0
東河,23.298339,120.377492,C0X050,2021-03-31 15:00:00,30.3
信義,25.039606,121.556372,C0AC70,2021-03-31 15:00:00,24.9
水試所七股,23.122550,120.071589,CM0130,2021-03-31 15:00:00,27.2
東莒,25.966883,119.972400,C0W110,2021-03-31 15:00:00,-99
楓港,22.191928,120.684131,C0R670,2021-03-31 15:00:00,27.7
麻豆,23.185056,120.240500,C0X120,2021-03-31 15:00:00,28.9
尾寮山,22.834889,120.675806,C0R100,2021-03-31 15:00:00,25.9
獅子,22.203367,120.697225,C0R740,2021-03-31 15:00:00,27.6
中壢,24.979428,121.248156,C0C700,2021-03-31 15:00:00,22.4
花嶼,23.401778,119.314667,C0W130,2021-03-31 15:00:00,25.2
龍井,24.186278,120.520833,C0F9R0,2021-03-31 15:00:00,26.3
岡山,22.798844,120.286889,C0V660,2021-03-31 15:00:00,29.4
秀水,24.035917,120.495722,C0G780,2021-03-31 15:00:00,27.4
觀音,25.028861,121.145111,C0C590,2021-03-31 15:00:00,22.5
